ward,क्षेत्र,परिवार संख्या,औसत परिवार आकार,सयूक्त परिवारमा बसोबास गर्ने जनसंख्या प्रतिशत,महिला परिवारमुली भएको परिवार प्रतिशत,जम्मा जनसङ्ख्या,जनघनत्व,लैङ्रिगक अनुपात,वार्षिक जनसंख्या वृद्रिदर,६० वर्ष र माथि उमेर जनसंख्या,६० वर्ष र माथि उमेर जनसंख्या प्रतिशत,वालवालिकाको जनसंख्या,वालवालिकाको जनसंख्या प्रतिशत,वाल (०-१७) लैङ्रिगक अनुपात,बालबालिका साक्षरता दर,एकल महिला जनसंख्या प्रतिशत,अनुपस्थित विदेश,समग्र अनुपस्थित,विदेश गएका अनुपस्थित जनसंख्या प्रतिशत,अनुपस्थित जनसंख्या प्रतिशत,जम्मा जन्म,जम्मा मृत्यु,सम्बन्ध बिच्छेद,विवाह,बसाई सरी आएको (सदस्यको संख्या),बसाई सरी जाने (सदस्यको संख्या),अपाङ्गता भएका व्यक्तिको दर,अपाङ्गता भएका व्यक्तिको साक्षरता दर,कुल आश्रित अनुपात,स्कुल/कलेज नगएको ५-२५ वर्ष उमेरको जनसङ्ख्या
1,वडा नं १,1232,3.78,47.3,36.3,4660,234,84.5,0.64,515,11.1,1585,34.01,94.7,98.8,314.1,521,986,11.18,21.16,३,३९,७,५०,४३,२७,3,43.2,53.5,0.7
2,वडा नं २,1182,4.13,52.1,27.1,4877,374,93.4,1.18,466,9.6,1557,31.93,111.8,99.6,343.3,287,613,5.88,12.57,१०६,३५,४,४१,२९,५१,1.9,48.9,47.7,0.7
3,वडा नं ३,2003,4.01,47.6,35.9,8025,144,91.3,0.68,783,9.8,2896,36.09,112,98.6,285.3,704,951,8.77,11.85,२२५,८३,९,७१,७४,८३,1.7,51.9,55.4,0.9
4,वडा नं ४,2338,3.96,51.1,39.9,9260,255,88.2,1.25,955,10.3,3206,34.62,113.6,99.3,299.6,1032,1278,11.14,13.80,१४९,६१,१३,१०२,८६,१२९,2,63.3,52.2,1.5
5,वडा नं ५,3608,3.78,41.7,37.8,13647,8405,92,1.52,787,5.8,4652,34.09,109.7,98.4,476.0,887,1410,6.50,10.33,९१,४६,११,८८,२२२,१०५,0.8,81.1,44.7,1.6
6,वडा नं ६,6073,3.57,39.3,42.6,21653,2880,89.9,4.92,1464,6.8,6885,31.80,113,98.6,357.7,1665,3117,7.69,14.40,१८०,५८,१७,१३९,३३९,७३,1.2,73.3,41.7,1.4
7,वडा नं ७,3526,3.93,49.6,44.7,13868,1088,87.3,2.38,1223,8.8,4646,33.50,109.9,98.2,323.8,1255,1858,9.05,13.40,६४,८४,१५,११२,२६०,८५,1.7,61.6,48,1.8
8,वडा नं ८,2208,3.98,46.8,34.6,8795,820,92.2,4.26,752,8.6,2975,33.83,111.7,98.2,326.4,604,978,6.87,11.12,१५७,५७,९,६८,१४७,४२,1.3,49.6,49.7,1.7
9,वडा नं ९,3773,3.57,39.4,54.9,13464,2257,89.3,9.65,677,5,5045,37.47,117.1,98.4,313.6,1217,1951,9.04,14.49,१,३७,५,६०,२७६,३४,1.5,66,48.8,1.3
10,वडा नं १०,1600,4.12,55.1,28.6,6587,382,89.4,0.13,640,9.7,2015,30.59,111,98.6,350.3,501,994,7.61,15.09,१५१,४८,४,५३,८४,४४,1.8,38.7,42.9,1.7
11,वडा नं ११,2150,4.14,55.9,31.9,8909,515,89,0.27,898,10.1,2814,31.59,104.4,97.9,338.1,795,1444,8.92,16.21,१०,६९,८,७२,९४,२८,1.6,46.4,47.5,2
12,वडा नं १२,2673,4.08,52,29.9,10897,691,90.9,2.01,962,8.8,3474,31.88,107.9,99.2,336.2,731,1223,6.71,11.22,१६३,८३,६,९३,९०,५१,1.3,51.1,45.2,2
13,वडा नं १३,1480,3.99,51.4,43.3,5908,113,86.1,0.71,541,9.2,2074,35.10,102.9,99,294.5,653,989,11.05,16.74,१५७,४५,१३,७१,६८,३५,3,45.1,51.6,2
14,वडा नं १४,1627,3.94,55.1,30,6415,312,86.9,0.58,630,9.8,2123,33.09,105.9,96.6,321.0,564,1020,8.79,15.90,१२१,४३,७,६८,७७,४०,1.8,46.9,49.7,1.6
15,वडा नं १५,1928,4.07,58.1,34.4,7850,548,85.1,1.18,796,10.1,2465,31.40,100.1,99.4,344.2,648,1197,8.25,15.25,१६२,४५,१५,९४,७०,६८,3.3,45.8,48.3,1.1
16,वडा नं १६,1907,4.16,56.4,28.6,7929,463,90.6,0.4,779,9.8,2496,31.48,113.3,98.2,339.9,659,1333,8.31,16.81,१७८,५५,१०,९२,१०५,५५,1.7,45.4,46.1,1.9
17,वडा नं १७,2292,4.06,53.4,33.4,9312,580,89.1,3.39,875,9.4,2959,31.78,107.6,99.2,337.4,712,1170,7.65,12.56,१७१,५५,८,५९,७८,६३,1.7,49,46.7,1.4
18,वडा नं १८,2384,3.97,52.2,35.5,9462,583,90.4,2.01,853,9,3170,33.50,112.2,99.3,319.8,754,1218,7.97,12.87,२४२,७३,१८,१००,१४५,६५,1.4,59.7,48.8,1
19,वडा नं १९,2034,4.05,49.7,44.9,8234,241,86.2,2.64,649,7.9,2964,36.00,101.6,99.1,288.9,662,879,8.04,10.68,५३,५६,८,६६,१०५,६५,1.2,68.2,52.4,1.7